Index,Released,released_year,Title,Theatrical,Genre,Source,Production,Creative,Production,Opening Weekend,Maximum,Theatrical,Opening Weekend,Domestic,Infl. Adj. Dom.,International,Worldwide
37,13-Aug-10,2010,Eat Pray Love,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$60,000,000 ","3,082","3,108","17,998","$23,104,523 ","$80,574,010 ","$91,603,156 ","$126,024,779 ","$206,598,789 "
38,17-Dec-10,2010,Yogi Bear,Warner Bros.,Adventure,Based on TV,Animation/Live Action,Kids Fiction,"$80,000,000 ","3,515","3,515","26,886","$16,411,322 ","$100,246,011 ","$113,770,116 ","$104,528,679 ","$204,774,690 "
39,15-Oct-10,2010,Red,Summit Entertainment,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,"$60,000,000 ","3,255","3,349","22,086","$21,761,408 ","$90,380,162 ","$102,746,569 ","$106,059,531 ","$196,439,693 "
40,20-Oct-10,2010,Paranormal Activity 2,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$3,000,000 ","3,216","3,239","14,325","$40,678,424 ","$84,752,907 ","$96,353,533 ","$92,759,125 ","$177,512,032 "
41,11-Jun-10,2010,The A-Team,20th Century Fox,Action,Based on TV,Live Action,Contemporary Fiction,"$110,000,000 ","3,535","3,544","15,489","$25,669,455 ","$77,222,099 ","$87,792,422 ","$100,019,072 ","$177,241,171 "
42,15-Oct-10,2010,Jackass 3D,Paramount Pictures,Comedy,Based on TV,Live Action,Factual,"$20,000,000 ","3,081","3,139","14,677","$50,353,641 ","$117,229,692 ","$133,275,650 ","$54,456,101 ","$171,685,793 "
43,6-Aug-10,2010,The Other Guys,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$100,000,000 ","3,651","3,651","23,733","$35,543,162 ","$119,219,978 ","$135,539,059 ","$51,716,492 ","$170,936,470 "
44,6-Aug-10,2010,Step Up 3D,Walt Disney,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","2,435","2,439","8,505","$15,812,311 ","$42,400,223 ","$48,204,053 ","$123,488,894 ","$165,889,117 "
45,12-Nov-10,2010,Unstoppable,20th Century Fox,Action,Based on Real Life Events,Live Action,Dramatization,"$95,000,000 ","3,207","3,261","20,351","$22,688,457 ","$81,562,942 ","$92,715,436 ","$84,157,979 ","$165,720,921 "
46,15-Jan-10,2010,The Book of Eli,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,"$80,000,000 ","3,111","3,111","18,124","$32,789,494 ","$94,835,059 ","$107,816,287 ","$63,915,758 ","$158,750,817 "
47,17-Sep-10,2010,The Town,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$37,000,000 ","2,861","2,935","19,795","$23,808,032 ","$92,186,262 ","$104,804,843 ","$60,380,619 ","$152,566,881 "
48,9-Apr-10,2010,Date Night,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$55,000,000 ","3,374","3,380","23,993","$25,207,599 ","$98,711,404 ","$112,223,230 ","$53,557,629 ","$152,269,033 "
49,12-Feb-10,2010,The Wolfman,Universal,Horror,Remake,Live Action,Fantasy,"$150,000,000 ","3,222","3,223","12,248","$31,479,235 ","$62,189,884 ","$70,702,572 ","$80,444,474 ","$142,634,358 "
50,5-Feb-10,2010,Dear John,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$25,000,000 ","2,969","3,062","17,020","$30,468,614 ","$80,014,842 ","$90,967,443 ","$62,018,667 ","$142,033,509 "
51,24-Sep-10,2010,Legend of the Guardians: The Owls of …,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$100,000,000 ","3,575","3,575","19,643","$16,112,211 ","$55,675,313 ","$63,295,549 ","$84,041,404 ","$139,716,717 "
52,24-Sep-10,2010,Wall Street 2: Money Never Sleeps,20th Century Fox,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$70,000,000 ","3,565","3,597","15,212","$19,011,188 ","$52,474,616 ","$59,657,452 ","$84,957,003 ","$137,431,619 "
53,19-Mar-10,2010,The Bounty Hunter,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$45,000,000 ","3,074","3,118","19,156","$20,686,423 ","$67,061,228 ","$76,240,712 ","$68,747,609 ","$135,808,837 "
54,29-Oct-10,2010,Saw 3D,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$17,000,000 ","2,808","2,808","8,543","$24,230,123 ","$45,710,178 ","$51,967,076 ","$88,025,106 ","$133,735,284 "
55,10-Dec-10,2010,The Fighter,Paramount Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$11,000,000 ",4,"2,534","22,354","$300,010 ","$93,617,009 ","$106,160,668 ","$35,645,379 ","$129,262,388 "
56,9-Jul-10,2010,Predators,20th Century Fox,Action,Original Screenplay,Live Action,Science Fiction,"$40,000,000 ","2,669","2,669","9,641","$24,760,882 ","$52,000,688 ","$59,118,651 ","$75,233,701 ","$127,234,389 "
57,30-Apr-10,2010,A Nightmare on Elm Street,Warner Bros.,Horror,Remake,Live Action,Fantasy,"$35,000,000 ","3,332","3,332","13,737","$32,902,299 ","$63,075,011 ","$71,708,853 ","$54,654,610 ","$117,729,621 "
58,30-Jul-10,2010,Cats & Dogs: The Revenge of Kitty Galore,Warner Bros.,Adventure,Original Screenplay,Live Action,Kids Fiction,"$85,000,000 ","3,705","3,705","14,432","$12,279,363 ","$43,585,753 ","$49,551,868 ","$69,440,630 ","$113,026,383 "
59,22-Jan-10,2010,Tooth Fairy,20th Century Fox,Adventure,Original Screenplay,Live Action,Fantasy,"$48,000,000 ","3,344","3,345","22,252","$14,010,409 ","$60,022,256 ","$68,238,234 ","$52,588,130 ","$112,610,386 "
60,8-Oct-10,2010,Life as We Know It,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$38,000,000 ","3,150","3,150","17,480","$14,506,464 ","$53,374,681 ","$60,677,915 ","$52,513,156 ","$105,887,837 "
61,15-Oct-10,2010,Hereafter,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$50,000,000 ",6,"2,424","9,994","$220,322 ","$32,746,941 ","$37,229,214 ","$72,500,000 ","$105,246,941 "
62,24-Nov-10,2010,Love and Other Drugs,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$30,000,000 ","2,455","2,458","9,374","$9,739,161 ","$32,367,005 ","$36,791,164 ","$70,349,316 ","$102,716,321 "
63,20-Aug-10,2010,Nanny McPhee and the Big Bang,Universal,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$35,000,000 ","2,784","2,798","14,161","$8,407,685 ","$29,197,642 ","$33,194,274 ","$68,602,223 ","$97,799,865 "
64,16-Apr-10,2010,Kick-Ass,Lionsgate,Black Comedy,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,"$28,000,000 ","3,065","3,065","12,066","$19,828,687 ","$48,071,303 ","$54,651,402 ","$49,459,831 ","$97,531,134 "
65,12-Mar-10,2010,Green Zone,Universal,Drama,Based on Factual Book/Article,Live Action,Historical Fiction,"$100,000,000 ","3,003","3,004","11,106","$14,309,295 ","$35,497,337 ","$40,356,290 ","$62,025,683 ","$97,523,020 "
66,4-Jun-10,2010,Killers,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$75,000,000 ","2,859","2,859","12,563","$15,837,266 ","$47,059,963 ","$53,501,628 ","$48,512,786 ","$95,572,749 "
67,31-Mar-10,2010,The Last Song,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$20,000,000 ","2,673","2,794","16,631","$16,007,426 ","$62,950,384 ","$71,567,163 ","$29,728,564 ","$92,678,948 "
68,4-Jun-10,2010,Get Him to the Greek,Universal,Comedy,Spin-Off,Live Action,Contemporary Fiction,"$40,000,000 ","2,697","2,702","12,279","$17,570,955 ","$61,153,526 ","$69,524,353 ","$30,302,349 ","$91,455,875 "
69,24-Nov-10,2010,Burlesque,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$55,000,000 ","3,037","3,037","12,355","$11,947,744 ","$39,440,655 ","$44,829,584 ","$51,112,020 ","$90,552,675 "
70,4-Jun-10,2010,Marmaduke,20th Century Fox,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,"$50,000,000 ","3,213","3,213","12,225","$11,599,661 ","$33,644,788 ","$38,250,161 ","$56,251,142 ","$89,895,930 "
71,30-Jul-10,2010,Dinner for Schmucks,Paramount Pictures,Comedy,Remake,Live Action,Contemporary Fiction,"$69,000,000 ","2,911","3,046","15,007","$23,527,839 ","$73,026,337 ","$83,022,337 ","$13,770,165 ","$86,796,502 "
72,22-Apr-10,2010,Oceans,Walt Disney,Documentary,Based on Real Life Events,Live Action,Factual,"$80,000,000 ","1,206","1,232","6,030","$6,058,958 ","$19,422,319 ","$22,080,884 ","$67,365,211 ","$86,787,530 "
73,20-Aug-10,2010,Piranha 3D,Weinstein/Dimension,Horror,Remake,Live Action,Science Fiction,"$24,000,000 ","2,470","2,491","8,117","$10,106,872 ","$25,003,155 ","$28,425,634 ","$58,657,005 ","$83,660,160 "
74,29-Jan-10,2010,Edge of Darkness,Warner Bros.,Drama,Based on TV,Live Action,Contemporary Fiction,"$60,000,000 ","3,066","3,066","13,134","$17,214,384 ","$43,313,890 ","$49,242,788 ","$39,498,566 ","$82,812,456 "
75,14-May-10,2010,Letters to Juliet,Summit Entertainment,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$30,000,000 ","2,968","2,975","14,835","$13,540,486 ","$53,032,453 ","$60,291,649 ","$29,116,085 ","$82,148,538 "
76,18-Aug-10,2010,Vampires Suck,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","3,233","3,233","12,608","$12,202,831 ","$36,661,504 ","$41,679,805 ","$44,763,484 ","$81,424,988 "
77,19-Mar-10,2010,Diary of a Wimpy Kid,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$15,000,000 ","3,077","3,083","19,018","$22,126,166 ","$64,003,625 ","$72,764,577 ","$12,950,686 ","$76,954,311 "
78,17-Sep-10,2010,Easy A,Sony Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$8,000,000 ","2,856","2,974","18,355","$17,734,040 ","$58,401,464 ","$66,395,581 ","$17,799,257 ","$76,200,721 "
79,23-Apr-10,2010,The Back-up Plan,CBS Films,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,280","3,280","14,291","$12,201,710 ","$37,490,007 ","$42,621,717 ","$37,791,172 ","$75,281,179 "
80,27-Aug-10,2010,Takers,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$32,000,000 ","2,206","2,206","12,228","$20,512,304 ","$57,744,720 ","$65,648,936 ","$12,842,548 ","$70,587,268 "
81,27-Aug-10,2010,The Last Exorcism,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$1,800,000 ","2,874","2,874","11,506","$20,366,613 ","$41,034,350 ","$46,651,212 ","$29,131,550 ","$70,165,900 "
82,12-Nov-10,2010,Skyline,Universal,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$10,000,000 ","2,880","2,883","7,930","$11,692,415 ","$21,416,355 ","$24,347,872 ","$46,848,618 ","$68,264,973 "
83,13-Aug-10,2010,Gedo Senki (Tales from Earthsea),Walt Disney,Adventure,Based on Fiction Book/Short Story,Digital Animation,Fantasy,$0 ,5,5,11,"$20,614 ","$48,658 ","$55,318 ","$68,000,000 ","$68,048,658 "
84,1-Sep-10,2010,The American,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","2,823","2,833","10,238","$13,177,790 ","$35,606,376 ","$40,480,247 ","$32,344,347 ","$67,950,723 "
85,22-Jan-10,2010,Legion,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Fantasy,"$26,000,000 ","2,476","2,476","10,324","$17,501,625 ","$40,168,080 ","$45,666,369 ","$27,479,494 ","$67,647,574 "
86,19-Nov-10,2010,The Next Three Days,Lionsgate,Thriller/Suspense,Remake,Live Action,Contemporary Fiction,"$30,000,000 ","2,564","2,564","9,343","$6,542,779 ","$21,148,651 ","$24,043,403 ","$46,107,265 ","$67,255,916 "
87,26-Mar-10,2010,Hot Tub Time Machine,MGM,Comedy,Original Screenplay,Live Action,Science Fiction,"$36,000,000 ","2,754","2,771","15,448","$14,020,502 ","$50,269,859 ","$57,150,902 ","$15,697,891 ","$65,967,750 "
88,19-Feb-10,2010,The Ghost Writer,Summit Entertainment,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$45,000,000 ",4,819,"5,273","$183,009 ","$15,541,549 ","$17,668,909 ","$49,990,942 ","$65,532,491 "
89,17-Sep-10,2010,Devil,Universal,Horror,Original Screenplay,Live Action,Fantasy,"$10,000,000 ","2,809","2,811","12,026","$12,289,375 ","$33,679,655 ","$38,289,799 ","$29,674,459 ","$63,354,114 "
90,2-Apr-10,2010,Why Did I Get Married Too?,Lionsgate,Drama,Based on Play,Live Action,Contemporary Fiction,"$20,000,000 ","2,155","2,155","9,247","$29,289,537 ","$60,095,852 ","$68,321,898 ","$735,215 ","$60,831,067 "
91,8-Oct-10,2010,Secretariat,Walt Disney,Drama,Based on Real Life Events,Live Action,Dramatization,"$35,000,000 ","3,072","3,108","20,456","$12,694,770 ","$59,699,513 ","$67,867,594 ","$676,734 ","$60,376,247 "
92,5-Nov-10,2010,127 Hours,Fox Searchlight,Drama,Based on Real Life Events,Live Action,Dramatization,"$18,000,000 ",4,916,"4,992","$264,851 ","$18,335,230 ","$20,799,690 ","$41,881,941 ","$60,217,171 "
93,10-Nov-10,2010,Morning Glory,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","2,518","2,544","11,590","$9,203,266 ","$31,011,732 ","$35,255,240 ","$28,783,338 ","$59,795,070 "
94,12-Mar-10,2010,Remember Me,Summit Entertainment,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$16,000,000 ","2,212","2,215","8,161","$8,089,139 ","$19,068,240 ","$21,678,337 ","$37,437,880 ","$56,506,120 "
95,26-Feb-10,2010,The Crazies,Overture Films,Horror,Remake,Live Action,Contemporary Fiction,"$19,000,000 ","2,477","2,479","11,004","$16,067,552 ","$39,123,589 ","$44,478,911 ","$17,321,945 ","$56,445,534 "
96,26-Feb-10,2010,Cop Out,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000 ","3,150","3,150","12,495","$18,211,126 ","$44,875,481 ","$51,018,131 ","$11,034,429 ","$55,909,910 "
97,5-Feb-10,2010,From Paris With Love,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$52,000,000 ","2,722","2,722","9,434","$8,158,860 ","$24,077,427 ","$27,373,193 ","$29,061,741 ","$53,139,168 "
98,31-Dec-10,2010,Konferenz der Tiere,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$30,000,000 ",0,0,0,$0 ,$0 ,$0 ,"$53,048,539 ","$53,048,539 "
99,19-Feb-10,2010,Le Petit Nicolas,,Adventure,,Live Action,Kids Fiction,"$30,000,000 ",38,38,76,"$95,919 ","$201,857 ","$229,480 ","$52,137,709 ","$52,339,566 "
100,8-Jan-10,2010,Daybreakers,Lionsgate,Horror,Original Screenplay,Live Action,Science Fiction,"$20,000,000 ","2,523","2,523","7,632","$15,146,692 ","$30,101,577 ","$34,221,940 ","$21,343,926 ","$51,445,503 "
1,15-Jul-11,2011,Harry Potter and the Deathly Hallows:…,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$125,000,000 ","4,375","4,375","26,153","$169,189,427 ","$381,011,219 ","$430,979,904 ","$960,500,000 ","$1,341,511,219 "
2,29-Jun-11,2011,Transformers: Dark of the Moon,Paramount Pictures,Action,Based on TV,Animation/Live Action,Science Fiction,"$195,000,000 ","4,088","4,107","23,342","$97,852,865 ","$352,390,543 ","$398,605,694 ","$771,400,000 ","$1,123,790,543 "
3,20-May-11,2011,Pirates of the Caribbean: On Stranger…,Walt Disney,Adventure,Based on Theme Park Ride,Live Action,Fantasy,"$410,600,000 ","4,155","4,164","25,026","$90,151,958 ","$241,063,875 ","$272,678,806 ","$804,600,000 ","$1,045,663,875 "
4,16-Dec-11,2011,Mission: Impossible—Ghost Protocol,Paramount Pictures,Action,Based on TV,Live Action,Contemporary Fiction,"$145,000,000 ",425,"3,555","21,418","$12,785,204 ","$209,397,903 ","$236,569,129 ","$485,315,327 ","$694,713,230 "
5,18-Nov-11,2011,"The Twilight Saga: Breaking Dawn, Part 1",Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$127,500,000 ","4,061","4,066","24,750","$138,122,261 ","$281,287,133 ","$318,152,705 ","$408,132,918 ","$689,420,051 "
6,26-May-11,2011,Kung Fu Panda 2,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$150,000,000 ","3,925","3,952","22,353","$47,656,302 ","$165,249,063 ","$186,921,067 ","$499,588,484 ","$664,837,547 "
7,29-Apr-11,2011,Fast Five,Universal,Action,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$125,000,000 ","3,644","3,793","23,595","$86,198,765 ","$210,031,325 ","$237,576,415 ","$420,132,129 ","$630,163,454 "
8,26-May-11,2011,The Hangover Part II,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","3,615","3,675","21,605","$85,946,294 ","$254,464,305 ","$287,836,671 ","$332,000,000 ","$586,464,305 "
9,29-Jul-11,2011,The Smurfs,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,"$110,000,000 ","3,395","3,427","26,387","$35,611,637 ","$142,614,158 ","$161,317,646 ","$421,135,165 ","$563,749,323 "
10,24-Jun-11,2011,Cars 2,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000 ","4,115","4,115","25,790","$66,135,507 ","$191,450,875 ","$216,559,185 ","$368,704,508 ","$560,155,383 "
11,28-Oct-11,2011,Puss in Boots,Paramount Pictures,Adventure,Spin-Off,Digital Animation,Kids Fiction,"$130,000,000 ","3,952","3,963","26,358","$34,077,439 ","$149,260,504 ","$168,820,630 ","$405,726,973 ","$554,987,477 "
12,16-Dec-11,2011,Sherlock Holmes: A Game of Shadows,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$125,000,000 ","3,703","3,703","24,480","$39,637,079 ","$186,848,418 ","$211,140,237 ","$348,815,025 ","$535,663,443 "
13,15-Apr-11,2011,Rio,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$90,000,000 ","3,827","3,842","25,374","$39,225,962 ","$143,619,809 ","$162,455,195 ","$343,900,000 ","$487,519,809 "
14,5-Aug-11,2011,Rise of the Planet of the Apes,20th Century Fox,Adventure,Remake,Animation/Live Action,Science Fiction,"$93,000,000 ","3,648","3,691","26,276","$54,806,191 ","$176,760,185 ","$199,941,847 ","$306,100,000 ","$482,860,185 "
15,6-May-11,2011,Thor,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$150,000,000 ","3,955","3,963","22,538","$65,723,338 ","$181,030,624 ","$204,772,345 ","$268,295,994 ","$449,326,618 "
16,21-Dec-11,2011,The Adventures of Tintin,Paramount Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Contemporary Fiction,"$130,000,000 ","3,087","3,087","15,104","$9,720,993 ","$77,591,831 ","$87,656,150 ","$296,402,120 ","$373,993,951 "
17,22-Jul-11,2011,Captain America: The First Avenger,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$140,000,000 ","3,715","3,715","21,349","$65,058,524 ","$176,654,505 ","$199,822,313 ","$193,915,271 ","$370,569,776 "
18,3-Jun-11,2011,X-Men: First Class,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$160,000,000 ","3,641","3,692","17,709","$55,101,604 ","$146,408,305 ","$165,609,396 ","$209,000,000 ","$355,408,305 "
19,16-Dec-11,2011,Alvin and the Chipmunks: Chipwrecked,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,"$80,000,000 ","3,723","3,734","24,878","$23,244,744 ","$133,107,389 ","$150,413,777 ","$215,981,134 ","$349,088,523 "
20,13-May-11,2011,Bridesmaids,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$32,500,000 ","2,918","2,958","25,608","$26,247,410 ","$169,211,718 ","$191,403,421 ","$120,420,305 ","$289,632,023 "
21,7-Oct-11,2011,Real Steel,Walt Disney,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$110,000,000 ","3,440","3,440","20,174","$27,319,677 ","$85,463,309 ","$96,667,465 ","$178,417,032 ","$263,880,341 "
22,10-Jun-11,2011,Super 8,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$50,000,000 ","3,379","3,424","19,362","$35,451,168 ","$127,004,179 ","$143,660,461 ","$130,968,566 ","$257,972,745 "
23,4-Mar-11,2011,Rango,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$135,000,000 ","3,917","3,923","24,289","$38,079,323 ","$123,477,607 ","$139,671,395 ","$122,246,993 ","$245,724,600 "
24,20-Dec-11,2011,The Girl with the Dragon Tattoo,Sony Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$90,000,000 ","2,914","2,950","16,387","$12,768,604 ","$102,515,793 ","$115,760,406 ","$136,858,177 ","$239,373,970 "
25,14-Jan-11,2011,The Green Hornet,Sony Pictures,Action,Based on TV,Live Action,Super Hero,"$110,000,000 ","3,584","3,584","19,320","$33,526,876 ","$98,780,042 ","$111,734,796 ","$130,375,461 ","$229,155,503 "
26,17-Jun-11,2011,Green Lantern,Warner Bros.,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$200,000,000 ","3,816","3,816","15,762","$53,174,303 ","$116,601,172 ","$131,893,131 ","$102,934,320 ","$219,535,492 "
27,24-Jun-11,2011,Bad Teacher,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$19,000,000 ","3,049","3,049","17,398","$31,603,106 ","$100,292,856 ","$113,446,012 ","$115,156,141 ","$215,448,997 "
28,11-Feb-11,2011,Just Go With It,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","3,548","3,548","20,711","$30,514,732 ","$103,028,109 ","$116,539,989 ","$111,946,844 ","$214,974,953 "
29,11-Mar-11,2011,Battle: Los Angeles,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$70,000,000 ","3,417","3,417","15,219","$35,573,187 ","$83,552,429 ","$94,510,118 ","$129,911,547 ","$213,463,976 "
30,10-Aug-11,2011,The Help,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$25,000,000 ","2,534","3,014","28,827","$26,044,590 ","$169,705,587 ","$191,961,166 ","$43,414,417 ","$213,120,004 "
31,8-Jul-11,2011,Horrible Bosses,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,040","3,134","18,552","$28,302,165 ","$117,538,559 ","$132,953,448 ","$94,879,042 ","$212,417,601 "
32,11-Nov-11,2011,Immortals,Relativity,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,"$75,000,000 ","3,112","3,120","16,232","$32,206,425 ","$83,504,017 ","$94,451,750 ","$128,058,418 ","$211,562,435 "
33,21-Oct-11,2011,Paranormal Activity 3,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$5,000,000 ","3,321","3,329","15,480","$52,568,183 ","$104,028,807 ","$117,671,833 ","$98,024,579 ","$202,053,386 "
34,11-Feb-11,2011,Gnomeo and Juliet,Walt Disney,Comedy,Based on Play,Digital Animation,Fantasy,"$36,000,000 ","2,994","3,037","20,602","$25,356,909 ","$99,967,670 ","$113,078,179 ","$93,770,307 ","$193,737,977 "
35,17-Jun-11,2011,Mr. Poppers's Penguins,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$55,000,000 ","3,339","3,342","15,730","$18,445,355 ","$68,224,452 ","$77,171,924 ","$121,400,000 ","$189,624,452 "
36,1-Apr-11,2011,Hop,Universal,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Kids Fiction,"$63,000,000 ","3,579","3,616","20,044","$37,543,710 ","$108,085,305 ","$122,260,427 ","$80,572,288 ","$188,657,593 "
37,23-Nov-11,2011,Hugo,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$180,000,000 ","1,277","2,608","17,898","$11,364,505 ","$73,864,507 ","$83,451,247 ","$106,183,277 ","$180,047,784 "
38,29-Jul-11,2011,Cowboys and Aliens,Universal,Action,Based on Comic/Graphic Novel,Live Action,Science Fiction,"$163,000,000 ","3,750","3,754","18,527","$36,431,290 ","$100,368,560 ","$113,531,648 ","$75,669,764 ","$176,038,324 "
39,16-Nov-11,2011,The Descendants,Fox Searchlight,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$20,000,000 ",29,"2,038","16,123","$1,190,096 ","$82,624,961 ","$93,280,654 ","$92,882,839 ","$175,507,800 "
40,8-Jul-11,2011,Zookeeper,Sony Pictures,Romantic Comedy,Original Screenplay,Animation/Live Action,Fantasy,"$80,000,000 ","3,482","3,482","17,750","$20,065,617 ","$80,360,866 ","$90,899,989 ","$90,444,659 ","$170,805,525 "
41,28-Oct-11,2011,In Time,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$35,000,000 ","3,122","3,127","12,413","$12,050,368 ","$37,553,932 ","$42,476,995 ","$127,550,020 ","$165,103,952 "
42,21-Oct-11,2011,Johnny English Reborn,Universal,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$45,000,000 ","1,552","1,554","4,068","$3,833,300 ","$8,406,711 ","$9,509,232 ","$156,233,690 ","$164,640,401 "
43,20-May-11,2011,Midnight in Paris,Sony Pictures Classics,Romantic Comedy,Original Screenplay,Live Action,Fantasy,"$30,000,000 ",6,"1,038","11,164","$599,003 ","$56,816,662 ","$64,266,139 ","$105,686,112 ","$162,502,774 "
44,23-Nov-11,2011,The Muppets,Walt Disney,Adventure,Based on TV,Live Action,Kids Fiction,"$45,000,000 ","3,440","3,440","19,678","$29,239,026 ","$88,625,922 ","$100,222,994 ","$72,346,000 ","$160,971,922 "
45,18-Nov-11,2011,Happy Feet Two,Warner Bros.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$135,000,000 ","3,606","3,611","18,485","$21,237,068 ","$64,006,466 ","$72,387,783 ","$93,950,000 ","$157,956,466 "
46,25-Dec-11,2011,War Horse,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$70,000,000 ","2,376","2,856","17,902","$7,515,402 ","$79,883,359 ","$90,191,753 ","$76,932,170 ","$156,815,529 "
47,18-Mar-11,2011,Limitless,Relativity,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$27,000,000 ","2,756","2,838","17,098","$18,907,302 ","$79,249,455 ","$89,642,825 ","$76,315,464 ","$155,564,919 "
