Index,Date,Released,Year,Released,Title,Theatrical,Genre,Source,Production,Creative,Production,Opening Weekend,Maximum,Theatrical,Opening Weekend,Domestic,Infl. Adj. Dom.,International,Worldwide,Profit
82,18-Oct-13,18-Oct-13,2013,2013,Carrie,Sony Pictures,Horror,Remake,Live Action,Fantasy,"$30,000,000 ","3,157","3,157","11,221","$16,101,552 ",35.27,"$38,910,398 ","$47,142,901 ","$82,409,520 ","$5,266,619 "
98,8-Feb-13,8-Feb-13,2013,2013,Side Effects,Open Road,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$30,000,000 ","2,605","2,605","10,882","$9,303,145 ",32.17,"$35,496,873 ","$34,569,381 ","$66,742,138 ","$2,172,757 "
61,17-Jan-14,17-Jan-14,2014,2014,The Nut Job,Open Road,Adventure,Short Film,Digital Animation,Kids Fiction,"$30,000,000 ","3,427","3,472","19,812","$19,405,000 ",64.25,"$70,542,995 ","$58,278,428 ","$122,529,966 ","$34,251,538 "
81,2-Jul-14,2-Jul-14,2014,2014,Deliver Us from Evil,Sony Pictures,Horror,Factual Book,Live Action,Fantasy,"$30,000,000 ","3,049","3,049","8,051","$9,740,471 ",30.58,"$33,571,203 ","$57,379,496 ","$87,956,618 ","$577,122 "
89,24-Oct-14,24-Oct-14,2014,2014,John Wick,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","2,589","2,589","11,816","$14,415,922 ",43.04,"$47,248,246 ","$33,197,166 ","$76,235,001 ","$13,037,835 "
66,18-Dec-15,18-Dec-15,2015,2015,Sisters,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","2,962","2,978","17,009","$13,922,855 ",87.04,"$91,594,204 ","$18,986,015 ","$106,030,660 ","$57,044,645 "
78,24-Jul-15,22-Jul-15,2015,2015,Southpaw,Weinstein Co.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","2,772","2,774","13,963","$16,701,294 ",52.42,"$55,779,936 ","$41,785,908 ","$94,207,861 ","$22,421,953 "
84,18-Sep-15,17-Sep-15,2015,2015,Sicario,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ",6,"2,620","12,257","$401,288 ",46.89,"$49,891,104 ","$37,509,724 ","$84,399,017 ","$16,889,293 "
96,24-Apr-15,16-Apr-15,2015,2015,The Age of Adaline,Lionsgate,Drama,Original Screenplay,Live Action,Fantasy,"$30,000,000 ","2,991","3,070","14,935","$13,203,458 ",42.63,"$45,360,501 ","$26,427,639 ","$69,057,415 ","$12,629,776 "
38,28-Apr-17,28-Apr-17,2017,2017,Baahubali 2: The Conclusion,Great India Films,Action,Fiction Book,Live Action,Historical Fiction,"$30,000,000 ",419,425,"1,206","$10,430,497 ",18.99,"$18,985,794 ","$244,517,120 ","$263,502,914 ","($11,014,206)"
56,18-Aug-17,18-Aug-17,2017,2017,The Hitman’s Bodyguard,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","3,377","3,377","20,672","$21,384,504 ",75.47,"$75,468,583 ","$97,310,709 ","$172,779,292 ","$45,468,583 "
61,22-Nov-17,22-Nov-17,2017,2017,Darkest Hour,Focus Features,Drama,Fiction Book,Live Action,Dramatization,"$30,000,000 ",4,"1,733","13,308","$175,006 ",56.44,"$56,443,120 ","$93,912,708 ","$150,355,828 ","$26,443,120 "
79,28-Jul-17,27-Jul-17,2017,2017,Atomic Blonde,Focus Features,Thriller/Suspense,Comic,Live Action,Historical Fiction,"$30,000,000 ","3,304","3,326","12,894","$18,286,420 ",51.57,"$51,573,925 ","$46,771,498 ","$98,345,423 ","$21,573,925 "
82,25-Aug-17,16-Dec-16,2017,2016,Ballerina,Weinstein Co.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$30,000,000 ","2,575","2,705","13,599","$4,730,038 ",21.86,"$21,858,070 ","$75,050,087 ","$96,908,157 ","($8,141,930)"
29,15-Aug-18,15-Aug-18,2018,2018,Crazy Rich Asians,Warner Bros.,Romantic Comedy,Fiction Book,Live Action,Contemporary Fiction,"$30,000,000 ","3,384","3,865","25,780","$26,510,140 ",172.3,"$172,304,057 ","$59,600,000 ","$231,904,057 ","$142,304,057 "
68,19-Jan-18,19-Jan-18,2018,2018,Den of Thieves,STX Entertainment,Action,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","2,432","2,432","9,964","$15,206,108 ",44.95,"$44,947,622 ","$34,476,699 ","$79,424,321 ","$14,947,622 "
79,11-May-18,10-May-18,2018,2018,Life of the Party,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","3,656","3,656","15,992","$17,886,075 ",52.86,"$52,856,061 ","$12,700,000 ","$65,556,061 ","$22,856,061 "
87,9-Feb-18,9-Feb-18,2018,2018,The 15:17 to Paris,Warner Bros.,Drama,Factual Book,Live Action,Dramatization,"$30,000,000 ","3,042","3,042","11,549","$12,554,286 ",36.25,"$36,250,957 ","$19,819,940 ","$56,070,897 ","$6,250,957 "
94,2-Mar-18,2-Mar-18,2018,2018,Death Wish,MGM,Action,Remake,Live Action,Contemporary Fiction,"$30,000,000 ","2,847","2,882","10,577","$13,010,267 ",34.02,"$34,017,028 ","$14,561,124 ","$48,578,152 ","$4,017,028 "
47,2-Nov-12,2-Nov-12,2012,2012,Flight,Paramount Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$31,000,000 ","1,884","2,638","18,458","$24,900,566 ",93.77,"$105,640,363 ","$66,786,063 ","$160,558,438 ","$62,772,375 "
46,7-Mar-14,5-Mar-14,2014,2014,The Grand Budapest Hotel,Fox Searchlight,Comedy,Original Screenplay,Live Action,Historical Fiction,"$31,000,000 ",4,"1,467","10,285","$811,166 ",59.08,"$64,613,323 ","$105,077,606 ","$164,153,625 ","$28,076,019 "
70,29-Jul-15,29-Jul-15,2015,2015,Vacation,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$31,000,000 ","3,411","3,430","16,851","$14,681,108 ",58.88,"$62,656,123 ","$42,743,801 ","$101,627,989 ","$27,884,188 "
80,27-Aug-10,27-Aug-10,2010,2010,Takers,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$32,000,000 ","2,206","2,206","12,228","$20,512,304 ",57.74,"$65,648,936 ","$12,842,548 ","$70,587,268 ","$25,744,720 "
57,1-Apr-11,1-Apr-11,2011,2011,Source Code,Summit Entertainment,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$32,000,000 ","2,961","2,971","15,639","$14,812,094 ",54.71,"$61,887,600 ","$85,716,272 ","$140,428,499 ","$22,712,227 "
81,18-Feb-11,18-Feb-11,2011,2011,"Big Mommas: Like Father, Like Son",20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$32,000,000 ","2,821","2,821","10,008","$16,300,803 ",37.92,"$42,887,929 ","$44,417,036 ","$82,332,450 ","$5,915,414 "
58,12-Jun-13,12-Jun-13,2013,2013,This is the End,Sony Pictures,Comedy,Short Film,Live Action,Science Fiction,"$32,000,000 ","3,055","3,055","17,933","$20,719,162 ",101.47,"$111,954,202 ","$25,068,915 ","$126,539,117 ","$69,470,202 "
55,20-Apr-18,20-Apr-18,2018,2018,I Feel Pretty,STX Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$32,000,000 ","3,440","3,440","15,658","$16,030,218 ",48.8,"$48,795,601 ","$42,774,097 ","$91,569,698 ","$16,795,601 "
54,10-Dec-08,10-Dec-08,2008,2008,The Reader,Weinstein Co.,Drama,Fiction Book,Live Action,Contemporary Fiction,"$32,500,000 ",8,"1,203","10,545","$168,051 ",34.19,"$41,085,919 ","$78,770,468 ","$112,964,875 ","$1,694,407 "
20,13-May-11,13-May-11,2011,2011,Bridesmaids,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$32,500,000 ","2,918","2,958","25,608","$26,247,410 ",169.21,"$191,403,421 ","$120,420,305 ","$289,632,023 ","$136,711,718 "
46,27-Jul-12,26-Jul-12,2012,2012,Step Up Revolution,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$33,000,000 ","2,567","2,606","9,398","$11,731,708 ",35.07,"$39,525,103 ","$130,477,613 ","$165,552,290 ","$2,074,677 "
98,8-Jul-16,7-Jul-16,2016,2016,Mike and Dave Need Wedding Dates,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$33,000,000 ","2,982","3,008","10,094","$16,628,170 ",46.01,"$47,711,762 ","$29,900,000 ","$75,909,673 ","$13,009,673 "
31,14-Aug-09,14-Aug-09,2009,2009,Gake no ue no Ponyo,Walt Disney,Adventure,Original Screenplay,Hand Animation,Kids Fiction,"$34,000,000 ",927,927,"4,995","$3,585,852 ",15.09,"$18,048,115 ","$190,222,267 ","$205,312,666 ","($18,909,601)"
24,19-Sep-14,11-Sep-14,2014,2014,The Maze Runner,20th Century Fox,Thriller/Suspense,Fiction Book,Live Action,Science Fiction,"$34,000,000 ","3,604","3,638","22,544","$32,512,804 ",102.43,"$112,446,548 ","$245,891,999 ","$348,319,861 ","$68,427,862 "
44,28-Jun-17,28-Jun-17,2017,2017,Baby Driver,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$34,000,000 ","3,226","3,226","21,722","$20,553,320 ",107.83,"$107,825,862 ","$120,278,323 ","$228,104,185 ","$73,825,862 "
97,25-Dec-11,25-Dec-11,2011,2011,The Darkest Hour,Summit Entertainment,Action,Original Screenplay,Live Action,Science Fiction,"$34,800,000 ","2,324","2,327","8,648","$2,993,519 ",21.44,"$24,220,337 ","$41,388,221 ","$62,831,715 ","($13,356,506)"
31,9-May-08,9-May-08,2008,2008,What Happens in Vegas...,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,215","3,255","19,100","$20,172,474 ",80.28,"$100,291,157 ","$138,258,062 ","$218,535,708 ","$45,277,646 "
45,28-Mar-08,28-Mar-08,2008,2008,21,Sony Pictures,Thriller/Suspense,Fiction Book,Live Action,Contemporary Fiction,"$35,000,000 ","2,648","2,952","17,574","$24,105,943 ",81.16,"$101,392,682 ","$78,687,064 ","$159,846,429 ","$46,159,365 "
66,17-Oct-08,17-Oct-08,2008,2008,Max Payne,20th Century Fox,Action,Game,Live Action,Contemporary Fiction,"$35,000,000 ","3,376","3,381","12,471","$17,639,849 ",40.69,"$50,832,757 ","$45,074,495 ","$85,763,888 ","$5,689,393 "
73,15-Aug-08,15-Aug-08,2008,2008,Mirrors,20th Century Fox,Horror,Remake,Live Action,Contemporary Fiction,"$35,000,000 ","2,664","2,664","11,193","$11,161,074 ",30.69,"$38,342,929 ","$46,529,157 ","$77,220,596 ","($4,308,561)"
74,28-Mar-08,28-Mar-08,2008,2008,Superhero Movie,MGM,Comedy,Original Screenplay,Live Action,Super Hero,"$35,000,000 ","2,960","2,965","12,642","$9,510,297 ",26.64,"$32,324,525 ","$46,387,782 ","$73,026,302 ","($8,361,480)"
80,25-Jul-08,25-Jul-08,2008,2008,The X-Files: I Want to Believe,20th Century Fox,Action,TV,Live Action,Science Fiction,"$35,000,000 ","3,185","3,185","8,821","$10,021,753 ",20.98,"$26,213,488 ","$47,188,314 ","$68,170,792 ","($14,017,522)"
90,25-Jan-08,25-Jan-08,2008,2008,Untraceable,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","2,368","2,368","9,013","$11,354,069 ",28.69,"$35,839,814 ","$23,962,116 ","$52,649,951 ","($6,312,165)"
10,5-Jun-09,5-Jun-09,2009,2009,The Hangover,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,269","3,545","35,788","$44,979,319 ",277.32,"$331,677,716 ","$188,441,583 ","$465,764,086 ","$242,322,503 "
21,20-Nov-09,20-Nov-09,2009,2009,The Blind Side,Warner Bros.,Drama,Factual Book,Live Action,Dramatization,"$35,000,000 ","3,110","3,407","39,428","$34,119,372 ",255.96,"$303,320,415 ","$49,746,319 ","$305,705,794 ","$220,959,475 "
49,16-Jan-09,16-Jan-09,2009,2009,Hotel for Dogs,Paramount Pictures,Adventure,Fiction Book,Live Action,Kids Fiction,"$35,000,000 ","3,271","3,271","22,368","$17,012,212 ",73.18,"$87,521,546 ","$49,178,625 ","$122,357,172 ","$38,178,547 "
63,25-Nov-09,25-Nov-09,2009,2009,Old Dogs,Walt Disney,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,425","3,425","15,560","$16,894,511 ",49.49,"$59,059,341 ","$45,612,244 ","$95,104,304 ","$14,492,060 "
69,23-Jan-09,23-Jan-09,2009,2009,Underworld 3: Rise of the Lycans,Sony Pictures,Action,Original Screenplay,Live Action,Fantasy,"$35,000,000 ","2,942","2,942","10,180","$20,828,511 ",45.8,"$54,779,566 ","$43,300,000 ","$89,102,315 ","$10,802,315 "
30,22-Dec-10,22-Dec-10,2010,2010,True Grit,Paramount Pictures,Western,Fiction Book,Live Action,Historical Fiction,"$35,000,000 ","3,047","3,464","29,401","$24,830,443 ",171.24,"$194,198,123 ","$81,033,923 ","$252,276,928 ","$136,243,005 "
57,30-Apr-10,30-Apr-10,2010,2010,A Nightmare on Elm Street,Warner Bros.,Horror,Remake,Live Action,Fantasy,"$35,000,000 ","3,332","3,332","13,737","$32,902,299 ",63.08,"$71,708,853 ","$54,654,610 ","$117,729,621 ","$28,075,011 "
63,20-Aug-10,20-Aug-10,2010,2010,Nanny McPhee and the Big Bang,Universal,Adventure,Fiction Book,Live Action,Kids Fiction,"$35,000,000 ","2,784","2,798","14,161","$8,407,685 ",29.2,"$33,194,274 ","$68,602,223 ","$97,799,865 ","($5,802,358)"
79,23-Apr-10,23-Apr-10,2010,2010,The Back-up Plan,CBS Films,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,280","3,280","14,291","$12,201,710 ",37.49,"$42,621,717 ","$37,791,172 ","$75,281,179 ","$2,490,007 "
91,8-Oct-10,8-Oct-10,2010,2010,Secretariat,Walt Disney,Drama,Real Life Event,Live Action,Dramatization,"$35,000,000 ","3,072","3,108","20,456","$12,694,770 ",59.7,"$67,867,594 ","$676,734 ","$60,376,247 ","$24,699,513 "
31,8-Jul-11,8-Jul-11,2011,2011,Horrible Bosses,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,040","3,134","18,552","$28,302,165 ",117.54,"$132,953,448 ","$94,879,042 ","$212,417,601 ","$82,538,559 "
41,28-Oct-11,28-Oct-11,2011,2011,In Time,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$35,000,000 ","3,122","3,127","12,413","$12,050,368 ",37.55,"$42,476,995 ","$127,550,020 ","$165,103,952 ","$2,553,932 "
55,22-Jul-11,22-Jul-11,2011,2011,Friends with Benefits,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","2,926","2,926","10,542","$18,622,150 ",55.8,"$63,121,145 ","$90,793,137 ","$146,595,891 ","$20,802,754 "
78,23-Sep-11,23-Sep-11,2011,2011,Abduction,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,118","3,118","12,598","$10,925,253 ",28.09,"$31,770,708 ","$58,561,204 ","$86,648,359 ","($6,912,845)"
79,9-Nov-11,9-Nov-11,2011,2011,J. Edgar,Warner Bros.,Drama,Real Life Event,Live Action,Dramatization,"$35,000,000 ","1,910","1,985","11,596","$11,217,324 ",37.31,"$42,195,831 ","$47,300,000 ","$84,606,030 ","$2,306,030 "
93,6-May-11,6-May-11,2011,2011,Something Borrowed,Warner Bros.,Romantic Comedy,Fiction Book,Live Action,Contemporary Fiction,"$35,000,000 ","2,904","2,904","11,848","$13,945,368 ",39.05,"$44,167,338 ","$26,037,627 ","$65,084,116 ","$4,046,489 "
98,27-May-11,27-May-11,2011,2011,The Tree of Life,Fox Searchlight,Drama,Original Screenplay,Live Action,Historical Fiction,"$35,000,000 ",4,237,"2,286","$372,920 ",13.31,"$15,050,673 ","$48,416,161 ","$61,721,826 ","($21,694,335)"
74,21-Dec-12,20-Dec-12,2012,2012,This is 40,Universal,Comedy,Spin-Off,Live Action,Contemporary Fiction,"$35,000,000 ","2,913","2,931","13,731","$11,579,175 ",67.54,"$75,801,703 ","$22,676,677 ","$90,221,182 ","$32,544,505 "
46,8-Feb-13,7-Feb-13,2013,2013,Identity Thief,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,141","3,230","25,197","$34,551,025 ",134.51,"$148,404,309 ","$40,854,658 ","$175,361,578 ","$99,506,920 "
62,13-Dec-13,29-Nov-13,2013,2013,Saving Mr. Banks,Walt Disney,Drama,Real Life Event,Live Action,Dramatization,"$35,000,000 ",15,"2,671","14,641","$413,373 ",83.3,"$91,774,878 ","$31,662,764 ","$114,962,525 ","$48,299,761 "
53,17-Jul-15,17-Jul-15,2015,2015,Trainwreck,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,158","3,171","18,674","$30,097,040 ",110.21,"$117,272,587 ","$30,911,197 ","$141,123,897 ","$75,212,700 "
77,22-May-15,20-May-15,2015,2015,Poltergeist,20th Century Fox,Horror,Remake,Live Action,Fantasy,"$35,000,000 ","3,240","3,242","10,626","$22,620,386 ",47.43,"$50,463,031 ","$48,400,000 ","$95,825,125 ","$12,425,125 "
87,21-Aug-15,19-Aug-15,2015,2015,Hitman: Agent 47,20th Century Fox,Action,Game,Live Action,Contemporary Fiction,"$35,000,000 ","3,261","3,273","10,384","$8,326,530 ",22.47,"$23,906,647 ","$59,492,132 ","$81,959,582 ","($12,532,550)"
41,16-Sep-16,6-Sep-16,2016,2016,Bridget Jones’s Baby,Universal,Romantic Comedy,Fiction Book,Live Action,Contemporary Fiction,"$35,000,000 ","2,927","2,930","9,521","$8,571,785 ",24.14,"$25,032,830 ","$181,796,732 ","$205,936,537 ","($10,860,195)"
78,20-May-16,5-May-16,2016,2016,Neighbors 2: Sorority Rising,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,384","3,416","11,725","$21,760,405 ",55.34,"$57,388,015 ","$53,417,791 ","$108,758,521 ","$20,340,730 "
13,8-Sep-17,31-Aug-17,2017,2017,It,Warner Bros.,Horror,Remake,Live Action,Historical Fiction,"$35,000,000 ","4,103","4,148","30,627","$123,403,419 ",327.48,"$327,481,748 ","$369,977,480 ","$697,459,228 ","$292,481,748 "
64,13-Oct-17,29-Sep-17,2017,2017,The Foreigner,STX Entertainment,Action,Fiction Book,Live Action,Contemporary Fiction,"$35,000,000 ","2,515","2,515","10,435","$13,113,024 ",34.39,"$34,393,507 ","$106,390,139 ","$140,783,646 ","($606,493)"
74,29-Jun-18,25-Jun-18,2018,2018,Sicario: Day of the Soldado,Sony Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,055","3,055","10,744","$19,007,566 ",50.07,"$50,065,850 ","$23,914,580 ","$73,980,430 ","$15,065,850 "
76,19-Jan-18,16-Jan-18,2018,2018,12 Strong,Warner Bros.,Drama,Fiction Book,Live Action,Historical Fiction,"$35,000,000 ","3,002","3,018","12,713","$15,815,025 ",45.5,"$45,500,164 ","$25,298,665 ","$70,798,829 ","$10,500,164 "
81,17-Aug-18,17-Aug-18,2018,2018,Mile 22,STX Entertainment,Action,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,520","3,520","12,441","$13,710,825 ",36.11,"$36,108,758 ","$28,598,686 ","$64,707,444 ","$1,108,758 "
84,1-Jun-18,1-Jun-18,2018,2018,Adrift,STX Entertainment,Drama,Real Life Event,Live Action,Dramatization,"$35,000,000 ","3,015","3,015","10,052","$11,603,039 ",31.45,"$31,445,011 ","$26,484,303 ","$57,929,314 ","($3,554,989)"
87,26-Mar-10,26-Mar-10,2010,2010,Hot Tub Time Machine,MGM,Comedy,Original Screenplay,Live Action,Science Fiction,"$36,000,000 ","2,754","2,771","15,448","$14,020,502 ",50.27,"$57,150,902 ","$15,697,891 ","$65,967,750 ","$14,269,859 "
34,11-Feb-11,11-Feb-11,2011,2011,Gnomeo and Juliet,Walt Disney,Comedy,Play,Digital Animation,Fantasy,"$36,000,000 ","2,994","3,037","20,602","$25,356,909 ",99.97,"$113,078,179 ","$93,770,307 ","$193,737,977 ","$63,967,670 "
58,22-Jan-16,24-Dec-15,2016,2015,Yip Man 3,Well Go USA,Action,Real Life Event,Live Action,Historical Fiction,"$36,000,000 ",103,115,441,"$784,839 ",2.68,"$2,778,556 ","$154,621,517 ","$157,300,954 ","($33,320,563)"
92,16-Dec-16,16-Dec-16,2016,2016,Collateral Beauty,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$36,000,000 ","3,528","3,528","11,425","$7,102,085 ",31.02,"$31,916,552 ","$54,299,049 ","$85,315,070 ","($4,983,979)"
31,5-Oct-18,19-Sep-18,2018,2018,A Star is Born,Warner Bros.,Drama,Remake,Live Action,Contemporary Fiction,"$36,000,000 ","3,686","3,884","11,278","$45,608,088 ",127.97,"$127,987,328 ","$75,589,916 ","$203,560,867 ","$91,970,951 "
13,21-Nov-08,21-Nov-08,2008,2008,Twilight,Summit Entertainment,Drama,Fiction Book,Live Action,Fantasy,"$37,000,000 ","3,419","3,649","26,720","$69,637,740 ",192.77,"$239,983,362 ","$209,510,305 ","$402,280,159 ","$155,769,854 "
39,12-Sep-08,12-Sep-08,2008,2008,Burn After Reading,Focus Features,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000 ","2,651","2,657","14,104","$19,128,001 ",60.36,"$75,402,152 ","$107,812,451 ","$168,167,798 ","$23,355,347 "
62,4-Apr-08,4-Apr-08,2008,2008,Nim's Island,20th Century Fox,Adventure,Fiction Book,Live Action,Fantasy,"$37,000,000 ","3,513","3,518","20,705","$13,210,579 ",48.01,"$59,975,026 ","$53,850,663 ","$101,857,425 ","$11,006,762 "
81,18-Jul-08,18-Jul-08,2008,2008,Space Chimps,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$37,000,000 ","2,511","2,538","12,148","$7,181,374 ",30.11,"$37,611,497 ","$36,923,988 ","$67,029,956 ","($6,894,032)"
47,17-Sep-10,17-Sep-10,2010,2010,The Town,Warner Bros.,Drama,Fiction Book,Live Action,Contemporary Fiction,"$37,000,000 ","2,861","2,935","19,795","$23,808,032 ",92.19,"$104,804,843 ","$60,380,619 ","$152,566,881 ","$55,186,262 "
96,26-Feb-10,26-Feb-10,2010,2010,Cop Out,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000 ","3,150","3,150","12,495","$18,211,126 ",44.88,"$51,018,131 ","$11,034,429 ","$55,909,910 ","$7,875,481 "
70,28-Jan-11,28-Jan-11,2011,2011,The Rite,Warner Bros.,Horror,Factual Book,Live Action,Dramatization,"$37,000,000 ","2,985","2,985","10,485","$14,789,393 ",33.05,"$37,381,748 ","$64,096,354 ","$97,143,987 ","($3,952,367)"
71,23-Sep-11,23-Sep-11,2011,2011,Dolphin Tale,Warner Bros.,Drama,Real Life Event,Live Action,Dramatization,"$37,000,000 ","3,507","3,515","22,578","$19,152,401 ",72.29,"$81,765,856 ","$23,781,945 ","$96,068,724 ","$35,286,779 "
29,7-Aug-13,7-Aug-13,2013,2013,We're the Millers,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000 ","3,260","3,445","31,564","$26,419,396 ",150.39,"$165,932,989 ","$117,422,157 ","$267,816,276 ","$113,394,119 "
43,25-Nov-15,25-Nov-15,2015,2015,Creed,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000 ","3,284","3,502","19,042","$29,632,823 ",109.77,"$116,517,977 ","$63,800,000 ","$173,567,581 ","$72,767,581 "
83,12-Feb-16,8-Feb-16,2016,2016,How to be Single,Warner Bros.,Romantic Comedy,Fiction Book,Live Action,Contemporary Fiction,"$37,000,000 ","3,343","3,357","13,088","$17,878,911 ",46.84,"$48,576,452 ","$53,177,762 ","$100,021,275 ","$9,843,513 "
44,23-Feb-18,23-Feb-18,2018,2018,Game Night,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000 ","3,488","3,502","18,188","$17,005,332 ",69,"$69,001,013 ","$48,200,000 ","$117,201,013 ","$32,001,013 "
75,18-May-12,17-May-12,2012,2012,What to Expect When You're Expecting,Lionsgate,Romantic Comedy,Factual Book,Live Action,Contemporary Fiction,"$37,500,000 ","3,021","3,021","13,654","$10,547,068 ",41.15,"$46,373,770 ","$47,320,813 ","$88,473,016 ","$3,652,203 "
32,24-Jul-09,24-Jul-09,2009,2009,The Ugly Truth,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$38,000,000 ","2,882","2,975","16,502","$27,605,576 ",88.92,"$106,342,588 ","$116,383,693 ","$205,298,907 ","$50,915,214 "
60,8-Oct-10,8-Oct-10,2010,2010,Life as We Know It,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$38,000,000 ","3,150","3,150","17,480","$14,506,464 ",53.37,"$60,677,915 ","$52,513,156 ","$105,887,837 ","$15,374,681 "
64,22-Apr-11,22-Apr-11,2011,2011,Water for Elephants,20th Century Fox,Drama,Fiction Book,Live Action,Historical Fiction,"$38,000,000 ","2,817","2,820","15,723","$16,842,353 ",58.71,"$66,409,350 ","$58,100,000 ","$116,809,717 ","$20,709,717 "
71,20-Sep-13,20-Sep-13,2013,2013,Rush,Universal,Drama,Real Life Event,Live Action,Dramatization,"$38,000,000 ",5,"2,308","9,212","$187,289 ",26.95,"$29,731,872 ","$71,283,215 ","$98,230,839 ","($11,052,376)"
75,6-Sep-13,5-Sep-13,2013,2013,Riddick,Universal,Action,Original Screenplay,Live Action,Science Fiction,"$38,000,000 ","3,107","3,117","12,706","$19,030,375 ",42.03,"$46,367,213 ","$52,738,623 ","$94,763,758 ","$4,025,135 "
64,17-Apr-15,10-Apr-15,2015,2015,Paul Blart: Mall Cop 2,Sony Pictures,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$38,000,000 ","3,633","3,633","21,216","$23,762,435 ",71.09,"$75,645,508 ","$36,559,052 ","$107,650,646 ","$33,091,594 "
74,23-Dec-16,21-Dec-16,2016,2016,Why Him?,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$38,000,000 ","2,970","3,008","13,323","$11,002,986 ",60.32,"$61,457,058 ","$57,115,752 ","$117,439,538 ","$22,323,786 "
76,22-Jan-16,14-Jan-16,2016,2016,The 5th Wave,Sony Pictures,Action,Fiction Book,Live Action,Science Fiction,"$38,000,000 ","2,908","2,908","12,484","$10,326,356 ",34.91,"$36,204,553 ","$76,423,416 ","$111,336,398 ","($3,087,018)"
70,2-Jun-17,2-Jun-17,2017,2017,Captain Underpants: The First Epic Movie,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$38,000,000 ","3,434","3,529","16,236","$23,851,539 ",73.92,"$73,921,000 ","$49,314,587 ","$123,235,587 ","$35,921,000 "
59,14-Aug-09,14-Aug-09,2009,2009,The Time Traveler's Wife,Warner Bros.,Drama,Fiction Book,Live Action,Science Fiction,"$39,000,000 ","2,988","2,988","17,860","$18,623,171 ",63.41,"$75,844,158 ","$38,917,289 ","$102,332,135 ","$24,414,846 "
